,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
243,Gaetano Berardi,2,0,2,0,0,0,2,100%,0,1,1,2,2,0,7,6,4,0,4,3,0,0,0,55,27.50,0,1,0%,0,2,0,0,1,0,0,0,0,0,,,,,,,
244,Vontae Daley-Campbell,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
245,Martin Kelly,154,0,55,63,29,180,336,74%,1,8,153,641,312,1,510,647,518,32,240,192,2,6,5,"3,823",24.82,2,210,17%,2,202,14,0,117,1,0,0,0,2,,,,,,,
246,Ed Turns,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
247,William Troost-Ekong,7,0,2,4,0,10,5,60%,2,0,3,38,15,0,28,15,16,1,8,10,0,0,0,346,49.43,0,0,0%,0,44,1,0,5,0,0,0,0,0,,,,,,,
248,James Justin,36,2,19,10,13,39,97,56%,0,4,41,68,46,0,167,228,178,26,48,75,1,0,2,"1,736",48.22,5,96,15%,0,47,5,0,24,4,0,2,0,1,,,,,,,
249,Aymeric Laporte,80,5,66,8,36,43,78,50%,0,12,84,189,113,0,438,301,188,10,176,104,0,0,3,"6,676",83.45,2,11,18%,3,346,8,0,52,4,4,1,0,0,,,,,,,
250,Ki-Jana Hoever,14,0,3,8,0,12,18,44%,0,0,11,24,9,0,50,48,47,15,8,10,0,0,0,328,23.43,0,24,13%,0,12,2,0,7,1,0,0,0,0,,,,,,,
251,Achraf Lazaar,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
252,Emil Krafth,35,1,11,15,4,54,38,53%,0,4,25,91,50,0,105,94,80,7,35,31,0,1,1,815,23.29,2,38,11%,0,29,4,0,16,1,1,0,0,0,,,,,,,
253,Nathan Aké,158,13,56,71,34,234,266,63%,3,21,215,783,427,5,668,708,476,29,346,291,0,0,6,"6,460",40.89,9,62,19%,3,274,19,1,108,7,7,1,5,4,,,,,,,
254,Angeliño,6,0,4,2,0,7,5,40%,0,2,9,15,7,0,29,17,15,4,6,7,0,0,0,338,56.33,3,43,21%,0,7,1,0,2,0,0,0,0,1,,,,,,,
255,Liam Cooper,34,1,13,16,7,61,90,67%,0,0,77,107,45,0,199,254,139,6,127,82,0,0,1,"2,146",63.12,0,1,0%,1,132,7,1,29,2,1,0,0,0,,,,,,,
256,Laurens De Bock,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
257,Rob Holding,71,0,37,22,20,77,94,61%,1,3,74,294,173,1,331,301,257,25,167,130,1,0,1,"3,889",54.77,0,5,60%,1,203,11,0,55,2,0,0,0,1,,,,,,,
258,Jarrad Branthwaite,4,0,1,2,1,6,8,88%,0,0,2,11,7,0,18,20,21,1,9,15,0,0,0,223,55.75,0,0,0%,0,13,0,0,4,0,0,0,0,0,,,,,,,
259,Xavier Mbuyamba,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
260,Bendeguz Bolla,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
261,Owen Beck,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
262,William Fish,1,0,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
263,Ryan Fredericks,57,2,18,27,10,64,129,65%,1,6,48,122,60,2,194,257,194,26,64,62,0,1,4,"1,519",26.65,5,102,25%,1,47,14,0,45,2,0,2,0,0,,,,,,,
264,James Tomkins,271,12,86,120,60,350,451,70%,17,26,447,"2,072",951,4,"1,011","1,458",831,25,835,483,0,7,7,"8,392",30.97,8,51,33%,4,764,47,2,170,7,7,3,2,7,,,,,,,
265,Björn Engels,17,1,3,12,2,32,11,55%,0,0,28,85,42,0,53,71,39,1,55,27,0,1,0,647,38.06,0,2,50%,0,49,1,0,5,1,1,0,0,0,,,,,,,
266,Christian Fuchs,116,2,54,35,32,136,273,74%,1,18,264,395,216,2,657,555,460,32,221,166,1,1,9,"4,575",39.44,11,336,23%,5,300,19,0,93,2,0,1,1,1,,,,,,,
267,Shane Duffy,103,7,28,42,21,132,94,57%,1,12,125,701,491,8,391,641,310,15,494,207,0,1,2,"3,772",36.62,2,7,71%,0,314,16,1,77,12,4,2,1,3,,,,,,,
268,Mads Roerslev,2,0,1,1,0,1,4,75%,0,0,0,2,1,0,2,5,2,0,1,0,0,0,0,8,4,0,2,2%,0,1,0,0,0,0,0,0,0,0,,,,,,,
269,Neco Williams,12,0,7,2,0,3,11,73%,0,6,15,7,3,0,32,38,32,11,9,8,0,0,0,324,27.00,0,38,13%,1,14,2,0,8,0,0,0,0,0,,,,,,,
270,Bobby Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Niall Huggins,1,0,0,1,0,0,0,0%,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,17,17.00,0,1,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
272,Wesley Fofana,28,0,14,10,6,30,51,73%,1,2,61,92,57,0,181,183,130,15,91,61,0,0,0,"1,688",60.29,0,2,0%,1,75,7,0,37,2,0,0,0,1,,,,,,,
273,Luke Shaw,195,2,88,44,54,176,324,72%,3,33,191,504,244,0,900,978,782,198,299,228,1,1,13,"8,543",43.81,24,659,24%,11,206,39,1,192,12,0,0,2,2,,,,,,,
274,Yerry Mina,72,5,32,22,13,79,80,60%,1,9,69,280,167,0,283,350,206,7,235,134,1,2,1,"3,279",45.54,2,5,0%,1,210,9,0,56,4,4,1,0,0,,,,,,,
275,Anthony Driscoll-Glennon,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
276,Cameron Carter-Vickers,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
277,Bernardo,39,0,9,19,2,49,99,68%,0,7,41,87,50,1,176,230,126,22,82,45,0,0,1,"1,189",30.49,3,53,19%,0,37,5,0,21,6,0,0,0,0,,,,,,,
278,Daniel Amartey,61,2,25,24,9,70,81,62%,0,4,65,105,61,0,333,193,192,12,81,73,0,0,1,"2,164",35.48,0,7,14%,0,98,8,1,45,1,2,0,0,0,,,,,,,
