,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
163,Scott Dann,241,16,78,104,49,331,297,60%,5,31,359,"1,585",683,6,855,"1,071",738,50,652,468,5,6,11,"7,013",29.10,11,24,29%,4,700,35,0,151,10,10,4,2,6,,,,,,,
164,Jonny Evans,326,13,160,95,92,329,483,71%,3,22,632,"1,940",834,4,"1,780","1,559",889,94,737,436,6,5,11,"15,117",46.37,6,59,34%,10,"1,113",51,3,257,4,9,4,0,2,,,,,,,
165,Ben Mee,202,7,59,94,56,285,277,58%,5,15,312,"1,250",743,10,"1,114","1,181",743,40,743,480,4,6,4,"7,434",36.80,9,71,15%,1,763,40,0,136,8,6,1,0,6,,,,,,,
166,Dimitris Giannoulis,4,0,0,3,1,5,7,43%,0,1,1,9,6,0,20,24,10,12,1,2,0,0,0,122,30.50,0,8,0%,0,4,0,0,1,0,0,0,0,0,,,,,,,
167,Ezri Konsa,68,3,25,30,19,94,49,51%,0,7,60,248,118,0,280,322,184,15,167,116,0,2,2,"2,312",34.00,2,17,35%,0,124,6,0,40,2,1,2,0,1,,,,,,,
168,Reece Hannam,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
169,Adam Masina,43,1,13,23,6,56,73,59%,0,4,46,111,63,2,170,211,160,18,100,51,0,0,1,"1,273",29.60,2,105,19%,1,84,8,0,46,3,0,0,1,1,,,,,,,
170,Aaron Wan-Bissaka,118,2,56,31,39,131,389,65%,1,8,236,293,136,2,646,737,458,173,120,124,0,0,11,"5,203",44.09,11,252,19%,3,108,16,1,81,4,0,2,0,0,,,,,,,
171,Ricardo Pereira,83,5,37,33,23,99,278,58%,3,16,131,205,105,1,455,644,564,147,124,141,0,0,11,"3,754",45.23,17,183,16%,8,114,12,0,106,2,0,3,2,1,,,,,,,
172,Kurt Zouma,168,9,72,57,44,191,178,69%,5,19,253,752,411,1,678,797,396,52,505,204,1,2,4,"7,557",44.98,2,21,10%,0,479,14,1,105,6,8,1,0,4,,,,,,,
173,Declan Rice,138,5,52,52,27,185,322,59%,0,23,229,219,105,5,955,657,488,116,191,149,0,1,6,"5,766",41.78,5,72,29%,5,367,16,0,96,5,1,4,0,6,,,,,,,
174,Timothy Eyoma,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
175,Virgil van Dijk,169,14,103,31,65,159,191,71%,5,30,287,956,544,2,888,"1,129",418,43,810,285,0,3,4,"11,262",66.64,14,3,33%,14,788,9,1,93,5,11,0,3,12,,,,,,,
176,Javier Manquillo,107,2,29,51,20,127,197,65%,0,3,110,243,102,0,356,418,343,50,106,97,0,0,6,"2,549",23.82,4,190,15%,1,87,17,0,82,11,0,2,0,0,,,,,,,
177,Baba Rahman,15,0,6,6,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,,,,,,,
178,Axel Tuanzebe,23,0,10,6,2,19,26,62%,0,2,19,32,18,0,75,60,61,1,22,29,1,1,0,672,29.22,0,2,0%,0,29,2,0,16,0,0,0,0,0,,,,,,,
179,Haydon Roberts,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
180,Sam Byram,44,0,12,22,7,60,78,63%,0,9,89,144,79,0,168,197,180,12,82,72,0,0,1,"1,250",28.41,1,54,19%,1,42,13,1,48,6,0,0,0,1,,,,,,,
181,Pontus Jansson,7,0,3,1,2,6,8,75%,1,0,10,31,9,0,22,26,18,0,17,13,0,0,1,225,32.14,1,0,0%,1,6,1,0,1,1,0,0,0,1,,,,,,,
182,Gabriel Magalhães,27,2,14,9,9,25,31,61%,2,5,26,93,53,1,133,130,88,5,67,48,0,1,0,"1,747",64.70,0,2,50%,1,55,2,1,26,0,1,0,0,1,,,,,,,
183,Arthur Masuaku,92,0,33,35,16,115,216,59%,0,6,110,155,74,0,514,563,491,205,81,84,0,1,8,"3,010",32.72,9,233,18%,4,139,14,1,82,3,0,0,0,0,,,,,,,
184,Reece James,60,2,32,16,14,52,95,64%,0,21,41,67,42,0,262,277,237,64,77,71,0,0,6,"2,807",46.78,11,265,24%,0,118,4,1,55,3,0,2,0,2,,,,,,,
185,Ben Godfrey,65,0,20,33,14,102,82,62%,0,6,58,272,149,1,314,258,154,17,131,82,2,0,2,"2,988",45.97,2,13,31%,2,137,8,1,33,4,0,0,0,2,,,,,,,
186,Konstantinos Tsimikas,6,0,4,1,2,0,9,56%,0,2,3,12,3,0,16,19,29,3,4,5,0,0,1,127,21.17,1,38,29%,0,3,1,0,13,0,0,0,0,0,,,,,,,
187,James Morris,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
188,Oliver Casey,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
189,Kayne Ramsay,2,0,0,2,0,12,5,40%,0,0,0,10,4,0,8,7,2,0,2,1,0,0,0,33,16.50,0,0,0%,0,0,1,0,1,0,0,0,0,0,,,,,,,
190,Thierry Small,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
191,Kevin Long,42,1,9,18,8,55,72,67%,0,6,40,234,126,0,167,263,187,3,155,123,1,1,3,"1,285",30.60,4,3,0%,0,125,3,0,35,1,1,0,0,1,,,,,,,
192,Grant Hanley,53,1,11,34,6,99,86,69%,2,7,105,319,120,0,146,231,150,4,107,77,2,1,0,"1,583",29.87,0,1,0%,0,86,12,0,53,0,1,0,0,0,,,,,,,
193,Filip Benkovic,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
