,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
36,Miguel Azeez,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
37,James Maddison,105,21,49,37,0.2,0,17,4,1,5,237,70,30%,4,11,15,"4,023",38.31,27,536,28%,48,189,11,1,81,12,146,57%,82,32,15,5,403,531,455,132,24,72,0
38,Romeo Lavia,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
39,Fernandinho,249,18,173,40,0.07,2,14,2,0,0,235,66,28%,3,13,18,"15,852",63.66,27,76,21%,77,695,52,4,346,4,586,69%,55,375,430,278,"1,407","1,431","1,275",194,462,359,0
40,Todd Cantwell,42,6,5,31,0.14,0,5,1,0,0,46,16,35%,0,3,2,"1,179",28.07,1,26,4%,7,35,8,0,35,5,64,66%,13,21,29,6,167,208,217,52,22,42,1
41,Oliver Skipp,22,0,15,3,0.00,0,0,0,0,0,2,0,0%,0,0,0,452,20.55,0,0,0%,1,12,4,0,14,0,24,63%,1,4,10,6,47,51,44,4,14,10,0
42,Xherdan Shaqiri,129,22,53,44,0.17,1,3,18,0,3,198,64,32%,4,10,20,"3,438",26.65,36,577,26%,60,188,14,0,90,30,77,55%,55,45,15,8,480,351,500,127,18,55,0
43,Claudio Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
44,Bruno Fernandes,58,30,33,7,0.52,1,26,3,13,1,189,76,40%,7,13,20,"3,267",56.33,28,276,23%,30,208,10,0,59,6,86,53%,52,39,46,28,255,224,334,43,22,62,0
45,Enock Mwepu,3,0,3,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,33,11.00,0,2,0%,0,0,1,0,3,0,3,67%,0,2,3,1,2,5,17,0,2,8,0
46,James Balagizi,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
47,Harry Wilson,31,7,7,19,0.23,0,0,7,0,2,56,20,36%,1,2,0,575,18.55,4,35,11%,6,42,2,0,12,1,23,57%,25,11,11,5,85,87,92,17,6,22,0
48,Oleksandr Zinchenko,63,0,50,11,0.00,0,0,0,0,0,45,10,22%,0,0,3,"4,486",71.21,6,144,18%,3,116,2,1,44,5,113,62%,19,68,67,44,286,241,206,17,98,75,2
49,Gabriel Martinelli,30,5,11,8,0.17,0,4,1,0,0,33,13,39%,0,3,1,274,9.13,3,34,15%,4,6,1,0,19,5,30,63%,5,11,9,6,59,82,151,22,16,58,0
50,Mario Lemina,74,3,13,34,0.04,0,3,0,0,0,67,13,19%,2,0,2,"2,667",36.04,4,23,17%,10,132,12,0,91,3,166,64%,18,109,82,45,376,401,313,104,77,54,1
51,Maurizio Pochettino,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
52,Jamie Bowden,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
53,Granit Xhaka,165,9,84,46,0.05,0,0,9,0,3,163,48,29%,2,1,15,"11,938",72.35,14,287,25%,39,790,42,4,242,4,310,64%,46,160,243,147,"1,101",796,742,81,224,209,9
54,James Milner,567,55,286,140,0.10,1,38,8,17,4,509,154,30%,7,14,85,"17,157",30.26,47,"2,303",23%,111,918,70,3,467,45,836,77%,179,458,444,138,"1,847","1,927","2,311",317,365,533,2
55,Micah Hamilton,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
56,Tanguy Ndombele,57,5,20,22,0.09,0,3,2,0,0,29,12,41%,0,1,4,"1,899",33.32,6,19,21%,13,43,6,0,40,0,70,57%,11,33,17,5,213,299,208,118,18,27,0
57,Kalvin Phillips,35,1,17,10,0.03,0,1,0,0,1,20,5,25%,0,0,2,"1,749",49.97,5,85,36%,3,160,11,0,56,0,88,52%,3,50,54,27,274,184,180,23,35,45,1
58,Kevin De Bruyne,184,43,126,26,0.23,0,32,11,4,3,454,157,35%,24,20,78,"9,691",52.67,118,"1,265",26%,146,504,15,0,148,17,248,67%,131,97,68,35,876,756,898,272,68,117,1
59,Conor Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
60,Harvey Elliott,8,0,5,2,0.00,0,0,0,0,0,8,2,25%,0,0,0,200,25.00,0,11,18%,1,5,0,0,1,0,1,0%,2,3,1,0,26,11,14,2,2,1,0
61,Jack Grealish,103,16,33,52,0.16,0,12,4,0,0,164,56,34%,3,12,17,"3,331",32.34,27,288,23%,4,132,16,0,90,17,85,64%,57,57,23,9,436,683,465,198,55,73,1
62,Paris Maghoma,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
63,Beni Baningime,8,0,2,2,0.00,0,0,0,0,0,0,0,0%,0,0,0,82,10.25,0,0,0%,0,3,1,0,4,0,6,33%,0,2,1,0,9,9,14,1,1,2,0
64,Thiago,28,1,15,7,0.04,0,1,0,0,0,27,6,22%,0,2,1,"1,875",66.96,4,7,14%,3,131,4,0,49,0,66,59%,15,32,13,8,172,162,145,34,37,31,0
65,Tawanda Maswanhise,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
66,Crysencio Summerville,2,0,0,1,2,0,0,0,0,0,0,0,0%,0,0,0,14,7,0,1,1%,0,0,0,0,0,0,0,0%,0,0,0,0,0,2,4,2,0,1,0
67,Albert Sambi Lokonga,6,0,3,2,0.00,0,0,0,0,0,6,2,33%,0,0,0,239,39.83,0,2,50%,4,8,2,0,5,0,12,83%,0,7,4,2,23,21,11,1,4,5,0
68,André Gomes,77,1,31,29,0.01,0,1,0,0,0,45,9,20%,0,2,3,"2,972",38.60,4,51,20%,6,241,16,0,124,2,97,64%,12,38,34,21,434,324,474,97,75,59,0
69,Ross Barkley,227,28,99,71,0.12,3,17,8,2,2,449,130,29%,12,28,28,"8,422",37.10,38,383,24%,59,503,18,0,167,24,178,71%,158,81,114,88,826,"1,046","1,141",405,191,190,2
70,Domingos Quina,12,1,4,5,0.08,0,1,0,0,0,6,2,33%,0,0,0,237,19.75,0,2,50%,0,15,0,0,8,0,11,64%,0,3,1,0,34,26,39,6,2,10,0
71,Jensen Weir,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
72,Charlie Whitaker,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
73,Juraj Kucka,6,0,2,3,0.00,0,0,0,0,0,9,0,0%,0,0,0,147,24.50,0,5,0%,0,10,1,0,14,0,23,52%,4,5,10,5,33,54,47,3,13,13,0
74,Arjan Raikhy,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
75,Naby Keïta,57,5,46,4,0.09,1,3,1,0,0,51,21,41%,1,4,4,"2,139",37.53,8,16,6%,14,38,2,0,51,1,88,47%,16,31,20,8,238,193,217,55,22,42,0
76,Reda Khadra,1,0,0,1,0.00,0,0,0,0,0,0,0,0%,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,1,0
77,Frank Onyeka,6,0,3,1,0.00,0,0,0,0,0,6,1,17%,0,0,0,73,12.17,0,2,50%,0,4,1,0,9,0,10,60%,2,4,4,1,21,27,28,4,6,7,0
78,Mark Noble,405,46,143,164,0.11,0,44,2,27,2,334,115,34%,7,4,35,"18,255",45.07,35,964,32%,105,"1,510",82,5,387,28,867,70%,91,579,267,73,"2,382","1,627","1,558",245,102,133,3
79,Stuart McKinstry,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
80,Maxwell Haygarth,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
81,Jan Zamburek,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
82,Mateusz Klich,40,5,16,17,0.13,0,5,0,2,0,50,19,38%,1,1,6,"1,661",41.52,3,71,18%,3,56,6,0,50,7,45,53%,10,11,16,8,189,96,158,15,16,18,0
83,Jóhann Gudmundsson,125,9,33,61,0.07,2,0,7,0,0,139,46,33%,11,3,18,"2,290",18.32,14,494,30%,4,104,9,0,61,8,118,59%,35,112,110,40,486,396,476,81,115,150,0
84,Ainsley Maitland-Niles,84,1,36,27,0.01,0,1,0,0,0,27,8,30%,1,2,3,"2,551",30.37,5,78,22%,2,99,8,2,51,3,135,59%,7,92,93,40,345,304,331,82,38,62,0
85,Mathias Jensen,3,0,1,1,0.00,0,0,0,0,0,1,0,0%,0,0,0,36,12.00,0,9,33%,0,3,0,0,0,0,2,50%,1,1,2,1,6,3,5,1,0,0,0
86,Allan,31,0,15,10,0.00,0,0,0,0,0,8,3,38%,0,0,1,"1,277",41.19,0,8,25%,1,67,6,0,46,0,101,55%,1,22,38,13,232,177,193,37,5,14,0
87,James Ward-Prowse,276,32,92,109,0.12,0,28,4,9,10,297,129,43%,8,16,29,"9,585",34.73,39,"1,398",25%,18,372,34,2,246,5,341,64%,79,237,307,158,"1,237",788,"1,064",68,229,368,0
88,Caleb Watts,3,0,0,3,0.00,0,0,0,0,0,0,0,0%,0,0,0,12,4.00,0,1,100%,0,0,1,0,0,0,2,50%,0,0,0,0,2,4,5,0,1,3,0
89,Peter Gwargis,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
90,Peter Etebo,6,0,2,3,6,0,0,0,0,0,3,0,3%,0,0,0,155,25.83,0,2,50%,0,15,3,0,7,0,11,73%,1,5,4,1,30,22,17,6,2,1,0
91,Boubakary Soumaré,5,0,1,2,0.00,0,0,0,0,0,2,1,50%,0,0,0,111,22.20,0,2,0%,0,5,0,0,4,0,3,100%,0,3,2,1,14,14,9,5,3,1,0
92,Rúben Neves,116,11,43,42,0.09,1,10,0,5,2,212,44,21%,3,0,6,"6,345",54.70,11,96,23%,26,683,27,0,118,0,240,50%,78,199,124,53,864,425,460,47,89,93,0
