,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
259,Omari Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
260,Bernardo Silva,137,22,105,18,0.16,2,1,19,0,0,172,67,39%,5,20,24,"5,667",41.36,31,242,18%,15,191,14,0,86,10,153,63%,58,79,58,18,509,466,541,170,45,100,0
261,Dylan Levitt,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
262,Nathan Tella,21,1,5,13,0.05,0,1,0,0,0,18,9,50%,0,2,1,157,7.48,2,8,25%,1,1,2,0,16,5,10,70%,4,3,2,0,39,50,96,11,2,25,0
263,Luke Cundle,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
264,Vitinha,19,0,5,10,0.00,0,0,0,0,0,8,4,50%,0,1,1,330,17.37,1,14,29%,3,9,0,0,8,1,7,43%,2,3,1,1,32,20,20,8,0,1,0
265,Moussa Djenepo,51,3,14,27,0.06,0,2,1,0,0,41,10,24%,1,5,2,729,14.29,3,34,18%,1,12,12,1,58,6,86,58%,10,21,26,13,139,259,264,82,16,56,0
266,Kamal Sowah,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
267,Jack Francis,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
268,Taylor Perry,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
269,Billy Gilmour,15,0,7,7,0.00,0,0,0,0,0,3,0,0%,0,0,0,611,40.73,0,15,27%,2,28,0,0,8,0,18,67%,2,11,11,2,46,39,41,8,6,8,0
270,Jaime Alvarado,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
271,Benjamin Chrisene,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
272,Mathias Normann,3,0,0,2,3,0,0,0,0,0,7,4,57%,1,0,1,110,36.67,1,11,36%,1,14,1,0,3,0,5,60%,2,4,8,4,11,17,12,4,5,3,0
273,Tom Trybull,16,0,2,10,0.00,0,0,0,0,0,11,2,18%,0,0,0,615,38.44,0,0,0%,0,27,2,0,26,2,39,64%,3,16,32,14,63,79,92,6,24,15,0
274,Jaakko Oksanen,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
275,N'Golo Kanté,198,11,116,40,0.06,0,7,4,0,0,131,33,25%,0,8,12,"10,493",52.99,18,95,27%,29,436,29,0,254,7,618,63%,49,473,209,90,"1,519","1,049","1,041",216,138,232,2
276,Josh Benson,6,0,2,3,0.00,0,0,0,0,0,2,0,0%,0,0,0,79,13.17,0,5,0%,0,1,0,0,4,0,5,20%,1,3,2,1,18,10,22,2,2,5,0
277,João Moutinho,116,3,45,40,0.03,0,2,1,0,1,59,14,24%,1,0,15,"5,789",49.91,18,553,30%,16,373,14,1,146,3,294,53%,15,144,89,27,736,483,557,43,62,90,0
278,Luka Milivojevic,153,28,50,66,0.18,0,28,0,22,3,165,62,38%,5,5,5,"6,973",45.58,11,423,27%,11,471,42,1,248,2,330,62%,48,263,248,113,907,737,718,64,198,157,5
279,Pablo Hernández,73,5,21,34,0.07,0,4,1,0,0,93,24,26%,2,3,15,"2,681",36.73,13,194,16%,25,158,6,0,30,10,58,67%,29,54,26,7,235,176,265,64,6,35,0
280,Trézéguet,55,8,17,28,0.15,0,6,2,0,0,85,29,34%,3,8,2,652,11.85,5,93,16%,1,22,2,1,74,10,71,48%,31,44,27,17,144,225,307,47,57,89,0
281,Mattéo Guendouzi,57,0,24,17,0.00,0,0,0,0,0,27,9,33%,1,1,1,"2,750",48.25,4,21,10%,16,148,15,0,41,0,75,56%,11,59,58,29,284,263,217,47,31,40,1
282,Anthony Mancini,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
283,Cheikhou Kouyaté,237,14,75,94,0.06,6,7,0,0,0,174,55,32%,9,12,10,"7,240",30.55,4,107,17%,8,270,29,1,285,16,511,66%,35,350,538,319,"1,229","1,494","1,228",138,637,491,1
284,Nohan Kenneh,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
285,Vitaly Janelt,6,1,2,1,0.17,1,0,0,0,0,6,3,50%,0,1,0,194,32.33,0,7,29%,1,5,1,0,9,1,18,78%,2,5,7,2,25,31,19,1,7,3,0
286,James McAtee,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
287,Marc Leonard,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
288,Fred,82,3,41,18,0.04,0,1,2,0,0,85,21,25%,3,2,1,"4,599",56.09,9,86,23%,13,278,17,0,118,3,185,51%,22,104,63,15,613,378,437,77,26,50,1
289,Juan Familia-Castillo,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
290,Conor Gallagher,36,4,4,18,0.11,0,4,0,0,0,44,12,27%,3,3,3,"1,065",29.58,3,97,20%,1,58,13,0,57,1,94,51%,13,30,32,13,223,233,252,37,28,42,0
291,Jeffrey Schlupp,178,14,63,74,0.08,2,4,8,0,0,153,45,29%,0,11,10,"3,567",20.04,14,224,19%,4,173,17,0,135,3,307,68%,47,197,230,124,655,875,913,204,237,302,1
292,Felix Nmecha,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
293,Anwar El Ghazi,65,15,18,33,0.23,0,14,1,6,0,120,51,43%,5,11,4,"1,052",16.18,6,201,26%,2,28,6,0,43,19,38,68%,26,19,23,12,150,209,315,58,63,114,0
294,Lucas Torreira,63,3,28,15,0.05,0,3,0,0,0,46,12,26%,1,1,3,"2,493",39.57,3,40,28%,4,94,14,1,62,0,96,57%,10,75,53,22,327,276,212,30,32,47,0
295,Pierre Lees-Melou,6,0,0,5,6,0,0,0,0,0,6,2,33%,0,0,0,227,37.83,1,6,50%,2,17,2,0,8,0,18,56%,1,4,6,4,25,32,26,4,4,3,0
296,Adam Lallana,233,31,108,60,0.13,1,13,15,0,0,302,101,33%,9,24,29,"7,637",32.78,29,503,20%,48,169,18,0,164,60,360,73%,102,188,138,52,"1,000",984,"1,197",231,131,276,0
297,Ilkay Gündogan,135,29,99,22,0.21,4,19,6,3,1,194,58,30%,3,13,8,"7,825",57.96,17,205,28%,45,276,15,0,58,3,114,60%,66,105,55,24,612,366,361,107,57,71,0
298,Curtis Jones,33,3,18,6,0.09,0,3,0,0,0,30,12,40%,1,1,3,"1,179",35.73,4,8,25%,1,27,2,0,23,1,24,50%,11,21,9,4,106,87,114,30,17,22,0
299,Conor Coventry,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
