,Name,Appearances,Clean sheets,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls
51,Angus Gunn,22,5,6,10,63,1,5,6,4,12,44,168,43,3,0,0,0,0,0,0,520,23.64,117
52,Tim Krul,200,47,60,100,606,4,113,242,89,190,818,"1,772",325,16,2,9,0,3,0,2,"5,590",27.95,"1,546"
53,Robin Olsen,7,2,2,2,21,0,1,4,0,0,23,51,9,0,0,1,0,0,0,0,176,25.14,45
54,Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
55,Emiliano Martínez,59,24,27,23,202,1,6,62,25,19,284,409,68,1,0,4,0,2,0,0,"1,688",28.61,364
56,Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
57,Bernd Leno,100,24,43,31,313,2,48,45,23,39,561,733,127,8,1,2,1,2,0,0,"2,797",27.97,357
58,Christian Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
59,Adrián,139,38,57,45,464,5,57,150,53,112,550,"1,265",186,10,0,10,2,5,0,0,"3,481",25.04,"1,096"
60,Sergio Romero,7,6,4,1,20,1,1,10,2,5,39,38,2,0,0,0,0,0,0,0,181,25.86,54
61,Remi Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
62,Harvey Davies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
63,Nick Pope,112,38,38,42,368,2,42,137,25,76,471,905,133,4,0,5,0,3,0,0,"3,105",27.72,980
64,Álvaro Fernández,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
65,Joe Hart,340,127,169,97,941,7,269,391,249,180,"1,516","2,806",383,20,0,7,0,6,0,1,"6,733",19.80,"1,800"
66,Rúnar Alex Rúnarsson,1,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,9.00,0
67,Pierluigi Gollini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
68,Bailey Peacock-Farrell,4,0,0,4,10,0,1,0,0,2,6,29,14,0,0,0,0,0,0,0,106,26.50,43
69,Harry Tyrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
70,Aaron Ramsdale,79,13,19,50,285,1,29,48,15,27,340,607,126,3,0,1,0,1,0,1,"2,090",26.46,507
71,Arthur Okonkwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
72,David de Gea,346,123,190,71,946,3,115,188,110,96,"1,312","2,671",352,14,1,6,0,1,0,0,"7,621",22.03,"2,042"
73,Kiko Casilla,3,1,2,1,8,0,4,4,0,0,20,31,2,0,0,0,0,0,0,0,78,26.00,11
74,Zack Steffen,1,0,1,0,1,0,0,0,1,0,4,8,1,0,0,0,0,1,0,0,26,26.00,1
75,Daniel Langley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
76,Rui Patrício,112,30,42,38,288,3,18,51,22,9,376,835,137,5,0,1,0,0,0,0,"2,155",19.24,709
77,Zan-Luk Leban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
78,Kepa Arrizabalaga,77,25,41,22,155,1,19,35,10,23,354,504,94,3,0,3,0,0,0,0,"2,170",28.18,361
79,Vicente Guaita,99,27,33,41,302,1,66,50,23,24,464,828,140,3,1,5,0,1,0,0,"2,474",24.99,622
80,Eldin Jakupovic,28,6,9,13,94,2,15,20,11,19,110,269,47,1,0,0,0,0,0,0,769,27.46,202
81,João Virgínia,1,0,0,1,3,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,12,12.00,2
82,Willy Caballero,34,11,19,5,72,1,15,20,5,16,134,172,36,2,0,0,0,0,0,0,822,24.18,168
83,Robert Elliot,52,8,15,28,141,1,41,72,11,37,168,463,88,1,0,1,1,1,0,1,"1,462",28.12,508
84,Kasper Schmeichel,254,76,111,84,706,5,110,177,89,149,866,"1,975",324,6,2,11,0,0,0,0,"7,432",29.26,"2,157"
85,Jakub Stolarczyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
86,Karlo Ziger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
87,David Raya,7,3,3,1,18,0,1,6,1,11,34,68,6,0,0,0,0,0,0,0,298,42.57,73
88,Wayne Hennessey,181,37,47,94,617,3,72,274,96,122,683,"1,621",301,13,1,4,0,1,0,1,"4,858",26.84,"1,618"
89,Freddie Woodman,4,0,0,3,10,1,0,3,0,0,11,39,12,1,0,0,0,0,0,0,107,26.75,24
90,Alfie Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
91,Louie Moulden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
92,Vítezslav Jaros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
93,Édouard Mendy,37,19,21,8,76,1,6,22,5,12,158,228,28,1,0,3,0,1,0,0,"1,075",29.05,138
94,Ellery Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
